country,country_id,year,population,population_millions,population_category
Caribbean small states,S3,1971,3148560,3.15,Low Population
Caribbean small states,S3,1970,3104308,3.1,Low Population
Caribbean small states,S3,1969,3055925,3.06,Low Population
Caribbean small states,S3,1968,3002786,3.0,Low Population
Caribbean small states,S3,1967,2948759,2.95,Low Population
Caribbean small states,S3,1966,2894435,2.89,Low Population
Caribbean small states,S3,1965,2839698,2.84,Low Population
Caribbean small states,S3,1964,2784804,2.78,Low Population
Caribbean small states,S3,1963,2728278,2.73,Low Population
Caribbean small states,S3,1962,2670187,2.67,Low Population
Caribbean small states,S3,1961,2614258,2.61,Low Population
Caribbean small states,S3,1960,2558348,2.56,Low Population
